gene	A2(Log2(Avg))	B2(Log2(Avg))	C2(Log2(Avg))	A1(Log2(Avg))	B1(Log2(Avg))	C1(Log2(Avg))
ABLIM3	1.38E-02	4.96E-01	3.39E-01	-4.95E-01	-4.72E-01	-3.35E-01
ACTL6A	3.99E-01	5.10E-01	1.78E-01	-5.26E-01	-3.50E-01	2.20E-02
ALG8	-3.05E-01	-2.09E-01	-5.18E-01	2.95E-01	1.72E-01	-8.19E-02
ARIH1	-5.26E-01	-5.76E-01	-4.71E-01	4.17E-01	3.21E-01	-2.27E-01
ATP5G2	1.99E-01	4.20E-01	-8.21E-02	-3.65E-01	-9.18E-01	-4.82E-01
B4GALT2	2.69E-01	5.21E-01	1.05E-01	-2.92E-01	-1.72E-01	-3.32E-01
BCAP29	4.37E-01	2.26E-01	1.38E-01	8.63E-03	-5.65E-01	-6.05E-01
BLOC1S2	-3.64E-01	-3.99E-01	-3.12E-01	1.37E-01	-1.42E-02	1.82E-01
BRWD3	3.07E-01	4.73E-01	1.32E-01	-4.07E-01	-4.75E-01	-3.04E-01
CARHSP1	-6.23E-01	-1.10E-01	-2.97E-01	8.94E-02	5.42E-01	3.88E-01
CD52	-6.14E-01	-7.51E-01	-6.54E-01	-2.83E-01	5.44E-01	4.51E-01
CENPK	-3.64E-01	-6.57E-01	-2.50E-01	-7.43E-02	3.06E-01	2.75E-01
CIRBP	1.07E-01	4.70E-01	1.30E-01	-4.27E-01	-7.48E-01	-1.36E-01
CTSC	-2.08E-01	-8.81E-01	-8.09E-01	4.13E-01	5.53E-02	4.94E-01
CYP2D6	-2.01E-01	-4.21E-01	-4.91E-01	-1.76E-01	2.32E-01	3.40E-01
DDR2	-8.66E-01	-9.09E-01	-5.32E-01	1.26E-01	5.83E-01	2.94E-02
DKC1	-3.02E-01	-4.72E-01	-5.21E-02	3.65E-02	3.76E-01	1.26E-01
DYNC1I2	-2.69E-01	-6.52E-01	-5.37E-01	4.95E-01	8.75E-02	1.64E-01
DYNC1LI1	-3.71E-02	-6.50E-01	-3.38E-01	8.70E-02	1.98E-01	2.34E-01
EIF2S1	2.90E-01	4.90E-01	1.90E-01	-2.56E-01	-3.27E-01	-3.68E-01
ENTPD4	-5.03E-02	1.20E+00	3.72E-01	-3.65E-01	-6.51E-01	-6.79E-01
ERH	-3.92E-01	-6.88E-01	-6.50E-01	3.66E-01	-5.16E-02	7.87E-04
EXOC1	-6.39E-01	-5.48E-01	-4.40E-01	3.54E-01	3.34E-02	4.12E-01
FGD6	-4.73E-01	-4.77E-01	-4.40E-01	-2.14E-01	4.92E-01	3.75E-01
FLJ46836	2.70E-01	7.14E-01	2.02E-02	-3.96E-01	-1.51E-01	-2.81E-01
GON4L	4.02E-01	3.56E-01	1.08E-02	-3.01E-01	-4.14E-01	-3.30E-01
H2AFY	-3.04E-01	-2.59E-01	-8.95E-01	2.31E-01	2.26E-01	1.75E-01
LLGL1	1.20E-01	6.20E-01	5.73E-02	-3.39E-01	-4.97E-01	-2.13E-01
LSM5	-2.96E-01	-6.26E-01	-1.86E-01	2.47E-01	5.74E-03	8.76E-02
MTSS1	-4.38E-01	-6.53E-01	-6.24E-01	-4.20E-03	2.94E-01	-3.62E-02
NAP1L5	4.70E-01	1.17E-01	9.44E-02	-5.90E-01	-2.31E-01	-4.94E-01
NARG2	-1.27E-01	-6.98E-01	-6.07E-01	1.54E-01	2.99E-01	1.91E-01
PARP12	4.30E-01	3.29E-01	2.81E-02	-3.78E-01	-3.36E-02	-2.84E-01
PECAM1	2.84E-01	8.17E-02	3.74E-01	-9.51E-02	-5.57E-01	-8.42E-01
PGRMC2	4.41E-02	5.38E-01	1.86E-01	-6.19E-01	-3.04E-01	-2.68E-01
PHF20	-4.66E-01	-7.53E-01	-4.02E-01	3.98E-01	-1.22E-01	3.41E-01
PPFIBP1	5.65E-01	5.41E-01	-8.10E-02	-3.31E-01	-3.81E-01	-1.94E-01
PPTC7	-5.69E-01	-5.56E-01	-3.13E-01	-1.66E-01	4.16E-01	6.04E-01
PTP4A2	3.39E-01	2.17E-01	9.70E-02	-5.22E-01	-2.46E-01	-1.50E-01
RNMT	-2.86E-01	-5.88E-01	-1.54E-01	6.51E-02	3.88E-01	1.11E-01
SAFB	-4.11E-01	-6.14E-02	-4.35E-01	3.31E-01	2.13E-01	8.87E-02
SEC61A2	-2.19E-01	-3.41E-01	-2.35E-01	6.31E-02	4.47E-01	4.46E-02
SMAD2	3.94E-01	-1.82E-01	4.01E-01	-1.03E+00	-7.80E-01	-2.83E-01
ST8SIA4	-3.33E-01	-3.20E-01	-3.74E-01	1.83E-01	-6.69E-02	3.72E-01
TSEN54	2.57E-01	3.45E-01	2.02E-01	-3.97E-01	-2.60E-01	-3.85E-01
UBE2D3	-5.66E-01	-8.13E-01	-1.71E-01	1.41E-01	2.14E-01	1.47E-01
ZNF16	-1.58E-01	-1.39E-01	-4.97E-01	1.51E-01	1.11E-01	3.53E-01
ZNF764	4.44E-01	6.13E-01	1.10E-02	-2.70E-01	-3.68E-01	-8.91E-02
