logFC	p-value	q-value	SYMBOL
-1.15	2.50E-08	2.00E-04	SAT1
-0.57	2.60E-08	2.00E-04	RCE1
-0.57	2.60E-08	2.00E-04	RCE1
-1.23	9.10E-07	0.00099	CD151
-1.01	1.20E-06	0.0013	DUSP3
-1.83	1.80E-06	0.0016	GJB5
-1.73	1.80E-06	0.0016	LAU4
-0.81	2.10E-06	0.0018	SLC23A3
-0.81	2.10E-06	0.0018	CNPPD1
-1.14	2.20E-06	0.0018	TMBIM1
-0.66	2.70E-06	0.002	PPP1R11
-0.52	2.70E-06	0.002	MYL12A
2.23	2.90E-06	0.002	CXCL13
-0.99	3.00E-06	0.002	KCNMB1
-2.1	3.40E-06	0.0022	CXCL17
0.95	3.70E-06	0.0023	CNTN1
-0.59	4.00E-06	0.0023	CAP1
-0.89	4.00E-06	0.0023	PGM5
-0.79	4.10E-06	0.0023	CXCL16
1.25	4.50E-06	0.0024	SLC6A16
-0.84	5.10E-06	0.0026	TPM1
-0.79	5.40E-06	0.0027	GABARAPL1
1.04	6.90E-06	0.0033	GTSE1
-0.41	7.30E-06	0.0033	JADE1
-0.43	7.50E-06	0.0033	DOPEY2
0.7	7.50E-06	0.0033	CXCL12
-0.51	7.80E-06	0.0033	RAC1
-0.49	8.10E-06	0.0034	DCTN2
-0.9	9.90E-06	0.004	TARSL2
-0.47	1.00E-05	0.004	HABP4
-0.95	1.10E-05	0.0042	KLF6
-0.88	1.20E-05	0.0042	NA
-1.18	1.20E-05	0.0042	TAGLN
1.5	1.20E-05	0.0043	ZAN
0.92	1.20E-05	0.0043	ECM2
1.18	1.30E-05	0.0043	MYOC
-1.05	1.50E-05	0.0051	VWA1
-1.04	1.60E-05	0.0052	NPTXR
-0.62	1.70E-05	0.0055	FAM134A
-0.75	1.80E-05	0.0055	YPEL3
-0.32	1.80E-05	0.0055	OTUD7B
-0.67	1.80E-05	0.0055	PDGFA
-0.58	1.90E-05	0.0055	HRAS
-0.91	1.90E-05	0.0055	YBX3
-0.73	2.10E-05	0.0059	PXDC1
-0.36	2.10E-05	0.0059	CD47
-0.35	2.30E-05	0.0062	CTNNA1
0.95	2.40E-05	0.0062	SPRY4
-0.88	2.50E-05	0.0062	CSRP1
-0.44	2.50E-05	0.0062	CLN5
1.05	2.50E-05	0.0062	NPM3
0.96	2.50E-05	0.0062	CENPT
1.45	2.50E-05	0.0062	STRC
-0.55	2.50E-05	0.0062	OPTN
-1.23	2.60E-05	0.0064	CTSV
1.8	2.70E-05	0.0064	AQP5
-0.86	2.80E-05	0.0064	NA
-2.53	2.80E-05	0.0064	SLPI
-0.34	2.80E-05	0.0064	BFAR
-0.79	3.00E-05	0.0067	ACTN4
-0.41	3.00E-05	0.0067	ZNF774
-0.41	3.00E-05	0.0067	IQGAP1
-0.66	3.10E-05	0.0067	CAPNS1
-1.71	3.20E-05	0.0068	CNN1
-0.74	3.20E-05	0.0068	ALDH3A2
-0.75	3.40E-05	0.0071	ASL
0.77	3.50E-05	0.0071	NA
0.77	3.50E-05	0.0071	ABI3BP
-0.4	3.50E-05	0.0072	LOC104975499
-0.4	3.50E-05	0.0072	TRAK1
-1.06	3.70E-05	0.0073	SLC50A1
-1.06	3.70E-05	0.0073	EFNA1
-0.83	3.70E-05	0.0073	TIMP3
-0.84	3.70E-05	0.0073	RAB24
-0.78	3.80E-05	0.0073	STK38L
-0.47	3.90E-05	0.0073	F11R
-0.37	3.90E-05	0.0073	ATP2B4
0.46	3.90E-05	0.0073	NCAPD2
-0.33	4.00E-05	0.0073	KIDINS220
-0.47	4.10E-05	0.0073	ZDHHC23
-0.29	4.10E-05	0.0073	COMMD3
-0.37	4.10E-05	0.0073	HERPUD2
-0.82	4.20E-05	0.0073	MBP
-1.51	4.30E-05	0.0073	GRIN2C
-0.45	4.40E-05	0.0073	CTDSPL
-0.46	4.40E-05	0.0073	PTTG1IP
-0.36	4.40E-05	0.0073	PATL1
-1.33	4.50E-05	0.0073	RAB17
-0.54	4.50E-05	0.0073	CLTB
-0.23	4.60E-05	0.0073	CHKB
-0.23	4.60E-05	0.0073	CPT1B
1.4	4.60E-05	0.0073	OGN
-0.92	4.70E-05	0.0073	SQSTM1
-0.42	4.80E-05	0.0073	GIPC1
-0.5	4.80E-05	0.0073	SGPL1
-3.34	4.90E-05	0.0073	LOC507550
-0.37	4.90E-05	0.0073	KLF3
-0.47	4.90E-05	0.0073	UTP14A
1.25	5.00E-05	0.0073	BUB1B
-0.29	5.00E-05	0.0073	RALBP1
-0.67	5.10E-05	0.0074	LOC100137883
-0.66	5.20E-05	0.0074	DPM3
-1.09	5.20E-05	0.0074	VAT1
0.52	5.30E-05	0.0074	POR
0.5	5.40E-05	0.0075	CHST2
-0.48	5.50E-05	0.0077	CLN6
-1.41	5.70E-05	0.0078	IGFBP5
-0.92	5.80E-05	0.0078	FAS
0.79	5.80E-05	0.0078	PACSIN1
1.27	6.20E-05	0.0082	SLC12A2
0.83	6.20E-05	0.0082	LVRN
-0.39	6.30E-05	0.0082	CHMP3
-0.39	6.40E-05	0.0083	STK38
-0.57	6.60E-05	0.0085	AK3
-0.61	6.80E-05	0.0087	PPP1R13L
-3.47	6.90E-05	0.0087	KRT6B
-3.47	6.90E-05	0.0087	KRT75
0.28	6.90E-05	0.0087	SCOC
-0.65	7.20E-05	0.0089	DUSP16
0.82	7.30E-05	0.0089	NT5DC2
-0.64	7.30E-05	0.0089	PPDPF
0.53	7.30E-05	0.0089	EPHA4
-0.6	7.40E-05	0.0089	TMEM68
0.93	7.70E-05	0.0091	PHGDH
-1.1	7.70E-05	0.0091	ASRGL1
-0.41	7.70E-05	0.0091	GRB10
0.63	7.80E-05	0.0091	RNASEH2A
-0.43	7.90E-05	0.0092	NMI
-2.86	8.10E-05	0.0092	CYP4B1
-0.49	8.10E-05	0.0092	KHNYN
-0.52	8.20E-05	0.0092	FLOT2
-0.91	8.40E-05	0.0092	SYNM
-0.57	8.40E-05	0.0092	PLPP6
-0.89	8.60E-05	0.0092	SYNC
-0.95	8.60E-05	0.0092	USP43
0.52	8.60E-05	0.0092	LPAR1
0.3	8.90E-05	0.0093	SNORD124
0.3	8.90E-05	0.0093	MED24
-0.42	9.00E-05	0.0093	GINM1
-0.84	9.00E-05	0.0093	CARHSP1
-0.73	9.10E-05	0.0093	SLC3A2
0.85	9.10E-05	0.0093	CPXM1
-0.75	9.20E-05	0.0093	RAC3
-0.42	9.20E-05	0.0093	SERPINB6
-0.55	9.50E-05	0.0096	MRPL36
-0.61	9.60E-05	0.0096	LRP10
1.26	9.80E-05	0.0097	CKAP2
-0.69	1.00E-04	0.01	NPAS2
-0.74	1.00E-04	0.01	DHRS12
-1.14	1.00E-04	0.01	CUX2
-2.35	1.00E-04	0.01	KRT80
-0.69	0.00011	0.01	DBNDD2
-0.33	0.00011	0.01	TSC1
-0.46	0.00011	0.01	HMGXB4
-0.46	0.00011	0.01	TOM1
-0.39	0.00011	0.01	PFDN5
-1.04	0.00011	0.01	SHROOM1
-0.39	0.00011	0.01	RHOA
-0.53	0.00011	0.01	ESYT1
-0.48	0.00012	0.011	STX12
-1	0.00012	0.011	CRYAB
1.5	0.00012	0.011	PSD2
-0.34	0.00012	0.011	SLC25A28
-0.27	0.00012	0.011	DUSP11
-0.38	0.00012	0.011	FBXO30
-0.36	0.00012	0.011	AGO4
0.73	0.00012	0.011	FAIM2
1.24	0.00012	0.011	ARHGAP33
-0.61	0.00013	0.011	SYNJ2
-0.33	0.00013	0.011	RNF103
0.78	0.00013	0.011	ADAMTS9
1.16	0.00013	0.011	FAM83D
-0.64	0.00013	0.011	TAX1BP3
-0.95	0.00013	0.011	RAET1G
-0.64	0.00014	0.011	ABHD4
-0.42	0.00014	0.011	ARRB1
1.15	0.00014	0.011	TICRR
0.46	0.00014	0.011	NUDT4
-0.59	0.00014	0.011	GGACT
1.07	0.00014	0.011	PEG10
-1.05	0.00014	0.011	NRTN
0.73	0.00014	0.011	CNTNAP1
0.76	0.00015	0.012	TACC3
-0.36	0.00015	0.012	CELF2
-0.28	0.00015	0.012	RIPK2
0.64	0.00015	0.012	LMNB2
-0.55	0.00015	0.012	BEND7
0.57	0.00015	0.012	GLT8D2
0.4	0.00015	0.012	GSTM1
0.4	0.00015	0.012	GSTM2
-0.47	0.00015	0.012	FOXO4
-0.73	0.00015	0.012	SLC48A1
-0.51	0.00015	0.012	PSENEN
-0.36	0.00015	0.012	ORMDL2
0.59	0.00015	0.012	CDKN2C
0.74	0.00016	0.012	SOCS1
1.31	0.00016	0.012	FBXO41
-0.53	0.00016	0.012	ARF2
-0.37	0.00016	0.012	C16H1orf159
-0.26	0.00016	0.012	PIH1D1
-0.42	0.00017	0.012	SBDS
-0.39	0.00017	0.012	UBE2Q1
-0.54	0.00017	0.012	ILK
1.15	0.00018	0.013	CCNF
-0.45	0.00018	0.013	TMEM55B
-0.55	0.00018	0.013	RNPEPL1
-0.57	0.00018	0.013	EIF4EBP2
-0.55	0.00018	0.013	BOK
-0.77	0.00018	0.013	CDC42EP1
-1.18	0.00018	0.013	KRT17
-1.47	0.00018	0.013	KLC3
-0.56	0.00018	0.013	MAPK3
-0.56	0.00018	0.013	GDPD3
-0.65	0.00019	0.013	CTF1
-0.38	0.00019	0.013	FLCN
-0.95	0.00019	0.013	DTNA
-0.72	0.00019	0.013	TMSB4
0.53	0.00019	0.013	DACH1
0.9	0.00019	0.013	TRPM5
-0.55	0.00019	0.013	C23H6orf141
-0.53	0.00019	0.013	ATP6V0B
-0.56	0.00019	0.013	AHNAK
-1.53	0.00019	0.013	RASL11B
-2.48	0.00019	0.013	RNF183
-0.48	2.00E-04	0.013	PLSCR1
0.51	2.00E-04	0.013	LOC615989
1.14	2.00E-04	0.013	ESPL1
-0.53	2.00E-04	0.013	GABARAP
-0.53	2.00E-04	0.013	CTDNEP1
-0.59	2.00E-04	0.013	FIS1
0.55	2.00E-04	0.013	SUFU
